"org.ow2.jonas:jonas-resource-ant",1,"org.ow2.jonas.assemblies.profiles:jonas-full"|
"org.osgi:osgi_R4_core",9,"org.ow2.jasmine.jade:org.ow2.jasmine.jade.legacy.apache"|"org.ow2.bundles:util-plan-repository-impl"|"org.ow2.jasmine.jade:org.ow2.jasmine.jade.legacy.jonas4"|"org.ow2.bundles:util-plan-fetcher-impl-obr"|"org.ow2.jonas:jonas-services-datasource-core"|"org.ow2.bundles:util-plan-fetcher-impl"|"org.wymiwyg:wrhapi"|"org.ow2.bundles:util-plan-fetcher-impl-url"|"org.wymiwyg:wrhapi-jetty"|
"org.eclipse.jetty:jetty-server",16,"org.simplericity.jettyconsole:jetty-console-api"|"org.eclipse.jetty:jetty-rewrite"|"org.sonatype.restsimple:restsimple-service-descriptor-creator"|"org.mortbay.jetty:reverse-http-gateway"|"org.sonatype.restsimple:restsimple-webdriver"|"org.mortbay.jetty:reverse-http-server"|"org.wymiwyg:wrhapi-jetty"|"org.eclipse.jetty:jetty-ajp"|"org.apache.karaf:apache-karaf"|"org.mortbay.jetty:reverse-http-connector"|"org.wymiwyg:jetty-osgi-httpservice"|"org.semispace.comet:semispace-comet-app"|"org.simplericity.jettyconsole:jetty-console-core"|"org.ow2.jonas:jonas-web-container-jetty-8.0-core"|"org.mortbay.jetty:jboss-jetty"|"org.ops4j.pax.wicket.samples:provision"|
"org.apache.tomcat:el-api",2,"org.mule.modules:mule-module-jbpm"|"org.apache.tomcat:jasper"|
"org.nakedobjects:expenses-client",1,"org.nakedobjects:expenses-webapp"|
"org.apache.karaf.webconsole:org.apache.karaf.webconsole.gogo",1,"org.apache.karaf:apache-karaf"|
"org.jvnet.ogc:swecommon-v_2_0_0-schema",3,"org.jvnet.ogc:swecommon-common"|"org.jvnet.ogc:sps-v_2_0_0-schema"|"org.jvnet.ogc:swes-v_2_0_0-schema"|
"org.ow2.bonita:bonita-util-common",3,"org.ow2.bonita:bonita-api-fullObj-impl"|"org.ow2.bonita:bonita-ant-tasks"|"org.ow2.bonita:bonita-server"|
"org.xwiki.commons:xwiki-commons-script",1,"org.xwiki.commons:xwiki-commons-velocity"|
"net.stickycode.mockwire:sticky-mockwire-api",2,"net.stickycode.mockwire:sticky-mockwire"|"net.stickycode.mockwire:sticky-mockwire-spring25"|
"org.mule.transports:mule-transport-xfire",2,"org.mule.modules:mule-module-wssecurity"|"org.mule.examples:mule-example-loanbroker"|
"org.openl.rules:org.openl.rules.tomcat.lib",1,"org.openl.rules:org.openl.rules.eclipse.site"|
"mx4j:mx4j-remote",11,"org.ow2.jasmine:mbeancmd-assemblies-mulEmbedded"|"org.ops4j.gaderian:gaderian-jmx"|"org.ow2.petals:petals-bc-channelclient"|"org.ow2.jasmine:mbeancmd-assemblies-lewys"|"org.springframework.batch:spring-batch-samples"|"org.ow2.jasmine:mbeancmd-standalone"|"servicemix:servicemix-core"|"org.ow2.jasmine:mbeancmd-assemblies-core"|"org.mule.modules:mule-module-management"|"org.ow2.petals:petals-datacollector"|"org.objectweb.petals.tools:petals-webconsole"|
"commons-id:commons-id",1,"org.springmodules:spring-modules-javaspaces"|
"org.ow2.util:util-ee-metadata-ws-api",3,"org.ow2.bundles:ow2-util-ee-metadata-ws-api"|"org.ow2.easybeans:easybeans-core"|"org.ow2.util:util-ee-metadata-ws-impl"|
"org.ow2.util:util-ee-metadata-war-api",4,"org.ow2.easybeans:easybeans-deployer-tomcat-6.0"|"org.ow2.util:util-ee-metadata-war-impl"|"org.ow2.bundles:ow2-util-ee-metadata-war-api"|"org.ow2.easybeans:easybeans-deployer-jetty"|
"drools:drools-java",1,"org.springmodules:spring-modules-jsr94"|
"org.objectweb.fractal.cecilia.toolchain:task-codegen",1,"org.objectweb.fractal.cecilia.toolchain:cecilia-adl"|
"org.ow2.spec.ee:ow2-jsf-2.0-spec",3,"org.ow2.jonas.assemblies.profiles:jonas-full"|"org.ow2.jonas.assemblies.profiles:micro-jonas"|"org.ow2.jonas.assemblies:profiles"|
"org.objectweb.jonas:jonas-services-api",20,"org.objectweb.jonas:jonas-web-container-tomcat-6.0"|"org.objectweb.jonas:jonas-discovery"|"org.objectweb.jonas:jonas-jms"|"org.objectweb.jonas:jonas-mail"|"org.objectweb.jonas:jonas-webservices-axis"|"org.objectweb.jonas:jonas-web-container-tomcat"|"org.ow2.jonas:jonas-deployer-manager"|"org.objectweb.jonas:jonas-commons"|"org.objectweb.jonas:jonas-web-container-jetty"|"org.objectweb.jonas:jonas-web-container-jetty-6.1"|"org.objectweb.jonas:jonas-domain"|"org.objectweb.jonas:jonas-workmanager"|"org.objectweb.jonas:jonas-commands"|"org.objectweb.jonas:jonas-webservices"|"org.objectweb.jonas:jonas-web-container"|"org.objectweb.jonas:jonas-services"|"org.objectweb.jonas:jonas-jms-manager"|"org.objectweb.jonas:jonas-hsql-db"|"org.objectweb.jonas:jonas-server"|"org.objectweb.jonas:jonas-ejb"|
"org.zeroturnaround:javarebel-sdk",11,"org.zeroturnaround:javarebel-velocity-plugin"|"org.zeroturnaround:javarebel-spring-plugin"|"org.zeroturnaround:javarebel-servlet-plugin"|"org.zeroturnaround:javarebel-jboss-plugin"|"org.zeroturnaround:javarebel-wicket-plugin"|"org.zeroturnaround:javarebel-spring-mvc-plugin"|"org.zeroturnaround:javarebel-aspectj-plugin"|"org.zeroturnaround:javarebel-optional-check-plugin"|"org.zeroturnaround:javarebel-integration"|"org.zeroturnaround:javarebel-guice-plugin"|"org.zeroturnaround:javarebel-tapestry4-plugin"|
"org.ow2.jonas:jonas-genic",3,"org.ow2.jonas:jonas-ejb-2.1"|"org.ow2.jonas.tools.maven:maven-genic-plugin"|"org.ow2.jonas:jonas-ejb-2.1-core"|
"org.jboss.logging:jboss-logging",1,"org.jboss.jbossts:jbossjta"|
"opensymphony:quartz",1,"org.kuali.rice:rice-impl"|
"org.ow2.easybeans:easybeans-war-eclipselink",2,"org.ow2.easybeans:ow2-easybeans-jetty"|"org.ow2.easybeans:ow2-easybeans-tomcat"|
"org.jvnet.hyperjaxb3:maven-hyperjaxb3-plugin",1,"org.jvnet.hyperjaxb3:maven-hyperjaxb3-plugin-testing"|
"org.glassfish.grizzly:grizzly-framework",1,"org.shoal:shoal-cache"|
"com.yahoo.platform.yui:yuicompressor",2,"net.alchim31.maven:yuicompressor-maven-plugin"|"org.zkoss.maven:yuicompressor-maven-plugin-zk"|
"org.semispace.comet:semispace-comet-common",1,"org.semispace.comet:semispace-comet-server"|
"org.terracotta:terracotta",2,"org.mortbay.jetty:jetty-terracotta-sessions"|"org.ow2.bundles:ow2-bundles-externals-terracotta"|
"org.wicketstuff:jwicket-tooltip-walterzorn",1,"org.wicketstuff:jwicket-examples"|
"org.apache.tomcat:jasper",3,"org.objectweb.jonas:jonas-web-container-tomcat-6.0"|"org.ow2.jonas:jonas-web-container-tomcat-6.0-core"|"org.mule.transports:mule-transport-jetty"|
"org.ow2.jonas.cxf.transport.mdb:mdb-examples-basic-modules-client-receiver",1,"org.ow2.jonas.cxf.transport.mdb:mdb-examples-basic-assemblies-ear"|
"org.tynamo:tynamo-common",1,"org.tynamo:tapestry-security"|
"org.twitter4j:twitter4j-media-support",1,"org.twitter4j:twitter4j-examples"|
"org.terracotta.modules:tim-annotations",3,"org.yestech:yespublish"|"org.yestech:yesnotify"|"org.ow2.bundles:ow2-bundles-externals-terracotta"|
"org.ow2.jasmine.monitoring:jasmine-eos-notification-actions",1,"org.ow2.jasmine.monitoring:jasmine-eos-war"|
"org.synchronoss:cpo",1,"org.synchronoss:cpoUtil"|
"org.jmock:jmock-legacy",14,"org.scala-tools.testing:specs"|"org.scala-tools.testing:sweet_2.8.0.Beta1-RC2"|"org.scala-tools.testing:specs_2.8.2"|"org.powermock.examples:powermock-examples-jmock"|"org.scala-tools.testing:specs_2.8.1_java_1.5"|"org.scalatest:scalatest_2.8.2"|"org.scala-tools.testing:specs_2.8.1.RC2"|"org.scala-tools.testing:specs_2.8.1.RC1"|"org.scala-tools.testing:specs_2.8.0.Beta1"|"org.ow2.bonita:bonita-tests"|"org.scala-tools.testing:specs_2.8.1.RC3"|"org.ow2.bonita:bonita"|"org.nhind:xdmail"|"org.xj4:xj4-jmock"|
